path,cluster,category,confidence,gt_folder,dest
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2476.HEIC,4,koleksi_keramik,0.258587121963501,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2476_7270.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2477.HEIC,4,koleksi_keramik,0.25858697295188904,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2477_860.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2478.HEIC,4,koleksi_keramik,0.2585808336734772,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2478_5390.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2479.HEIC,4,koleksi_keramik,0.25858089327812195,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2479_5191.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2480.HEIC,4,koleksi_keramik,0.257574200630188,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2480_5734.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2481.HEIC,4,koleksi_keramik,0.2583547830581665,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2481_6265.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2482.HEIC,4,koleksi_keramik,0.25858697295188904,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2482_466.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2483.HEIC,4,koleksi_keramik,0.258587121963501,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2483_4426.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2484.HEIC,4,koleksi_keramik,0.258587121963501,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2484_5578.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2485.HEIC,4,koleksi_keramik,0.2585761845111847,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2485_8322.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2486.HEIC,4,koleksi_keramik,0.25857535004615784,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2486_1685.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2487.HEIC,4,koleksi_keramik,0.25858554244041443,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2487_769.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2488.HEIC,4,koleksi_keramik,0.258587121963501,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2488_6949.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2489.HEIC,4,koleksi_keramik,0.25858622789382935,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2489_2433.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2490.HEIC,4,koleksi_keramik,0.2585672438144684,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2490_5311.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2491.HEIC,4,koleksi_keramik,0.2585518956184387,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2491_5051.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2492.HEIC,4,koleksi_keramik,0.2584284842014313,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2492_6420.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2493.HEIC,4,koleksi_keramik,0.2585870921611786,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2493_1184.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2494.HEIC,4,koleksi_keramik,0.25858384370803833,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2494_4555.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2495.HEIC,4,koleksi_keramik,0.25858670473098755,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2495_3385.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2496.HEIC,4,koleksi_keramik,0.258587121963501,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2496_6396.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2497.HEIC,4,koleksi_keramik,0.2585805654525757,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2497_8666.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2498.HEIC,4,koleksi_keramik,0.2585866451263428,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2498_9274.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2499.HEIC,4,koleksi_keramik,0.2585870325565338,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2499_2558.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2500.HEIC,4,koleksi_keramik,0.25823843479156494,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2500_7849.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2501.HEIC,4,koleksi_keramik,0.2585858106613159,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2501_2047.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2502.HEIC,4,koleksi_keramik,0.25858646631240845,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2502_2747.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2503.HEIC,4,koleksi_keramik,0.2585834860801697,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2503_9167.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2504.HEIC,4,koleksi_keramik,0.2585814893245697,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2504_9998.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2505.HEIC,4,koleksi_keramik,0.25829634070396423,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2505_189.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2506.HEIC,4,koleksi_keramik,0.2585774064064026,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2506_2734.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2507.HEIC,4,koleksi_keramik,0.25858253240585327,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2507_3005.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2508.HEIC,4,koleksi_keramik,0.25858399271965027,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2508_4658.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2509.HEIC,4,koleksi_keramik,0.25858017802238464,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2509_1899.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2510.HEIC,4,koleksi_keramik,0.258587121963501,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2510_7734.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2511.HEIC,4,koleksi_keramik,0.2585866153240204,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2511_1267.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2512.HEIC,4,koleksi_keramik,0.2585843503475189,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2512_1528.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2513.HEIC,4,koleksi_keramik,0.258587121963501,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2513_3556.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2514.HEIC,4,koleksi_keramik,0.2585868537425995,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2514_3890.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2515.HEIC,4,koleksi_keramik,0.2585867941379547,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2515_8838.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2516.HEIC,4,koleksi_keramik,0.25858673453330994,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2516_5393.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2517.HEIC,4,koleksi_keramik,0.2585867941379547,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2517_8792.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2518.HEIC,4,koleksi_keramik,0.25858673453330994,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2518_8433.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2519.HEIC,4,koleksi_keramik,0.258587121963501,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2519_7513.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2520.HEIC,4,koleksi_keramik,0.2585841119289398,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2520_2612.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2521.HEIC,4,koleksi_keramik,0.25858360528945923,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2521_7041.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2522.HEIC,4,koleksi_keramik,0.2585870325565338,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2522_9555.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2523.HEIC,4,koleksi_keramik,0.25858694314956665,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2523_6235.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2524.HEIC,4,koleksi_keramik,0.258587121963501,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2524_5486.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2525.HEIC,4,koleksi_keramik,0.258587121963501,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2525_7099.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2526.HEIC,4,koleksi_keramik,0.258587121963501,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2526_9670.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2527.HEIC,4,koleksi_keramik,0.258587121963501,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2527_775.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2528.HEIC,4,koleksi_keramik,0.258587121963501,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_dec_softmax_10d/cluster_dec/cluster_04__koleksi_keramik/IMG_2528_8226.HEIC
