path,cluster,category,gt_folder,dest
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2476.HEIC,8,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_gmm/cluster_08__koleksi_keramik/IMG_2476.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2477.HEIC,8,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_gmm/cluster_08__koleksi_keramik/IMG_2477.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2478.HEIC,8,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_gmm/cluster_08__koleksi_keramik/IMG_2478.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2479.HEIC,8,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_gmm/cluster_08__koleksi_keramik/IMG_2479.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2480.HEIC,8,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_gmm/cluster_08__koleksi_keramik/IMG_2480.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2481.HEIC,8,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_gmm/cluster_08__koleksi_keramik/IMG_2481.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2482.HEIC,8,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_gmm/cluster_08__koleksi_keramik/IMG_2482.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2483.HEIC,8,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_gmm/cluster_08__koleksi_keramik/IMG_2483.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2484.HEIC,8,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_gmm/cluster_08__koleksi_keramik/IMG_2484.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2485.HEIC,8,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_gmm/cluster_08__koleksi_keramik/IMG_2485.HEIC
