path,cluster,category,gt_folder,dest
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2476.HEIC,9,?,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_hdbscan/cluster_09__?/IMG_2476.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2477.HEIC,9,?,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_hdbscan/cluster_09__?/IMG_2477.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2478.HEIC,19,?,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_hdbscan/cluster_19__?/IMG_2478.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2479.HEIC,19,?,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_hdbscan/cluster_19__?/IMG_2479.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2480.HEIC,9,?,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_hdbscan/cluster_09__?/IMG_2480.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2481.HEIC,9,?,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_hdbscan/cluster_09__?/IMG_2481.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2482.HEIC,9,?,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_hdbscan/cluster_09__?/IMG_2482.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2483.HEIC,9,?,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_hdbscan/cluster_09__?/IMG_2483.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2484.HEIC,9,?,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_hdbscan/cluster_09__?/IMG_2484.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2485.HEIC,9,?,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_hdbscan/cluster_09__?/IMG_2485.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2486.HEIC,9,?,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_hdbscan/cluster_09__?/IMG_2486.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2487.HEIC,9,?,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_hdbscan/cluster_09__?/IMG_2487.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2488.HEIC,9,?,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_hdbscan/cluster_09__?/IMG_2488.HEIC
