path,cluster,category,gt_folder,dest
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2476.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2476.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2477.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2477.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2478.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2478.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2479.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2479.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2480.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2480.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2481.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2481.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2482.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2482.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2483.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2483.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2484.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2484.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2485.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2485.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2486.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2486.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2487.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2487.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2488.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2488.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2489.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2489.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2490.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2490.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2491.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2491.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2492.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2492.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2493.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2493.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2494.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2494.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2495.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2495.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2496.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2496.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2497.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2497.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2498.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2498.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2499.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2499.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2500.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2500.HEIC
/Users/mdaffaatstsaqif/Downloads/klaster asli/koleksi keramik/IMG_2501.HEIC,2,koleksi keramik,koleksi keramik,/Users/mdaffaatstsaqif/Downloads/klaster asli/hasil_finetuned/cluster_kmeans/cluster_02__koleksi_keramik/IMG_2501.HEIC
